state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Bihar,Bihar,Champaran,1971\Bihar\25599_1971_CHA.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"197,198,199,200",output\pdf\1971_trimmed\Bihar\tehsil appendix\Champaran_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Saharsa,1971\Bihar\26051_1971_SAH.pdf,civic_amenities,Civic Amenities,Trimmed,"33,34",output\pdf\1971_trimmed\Bihar\civic amenities\Saharsa_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Saharsa,1971\Bihar\26051_1971_SAH.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"35,36",output\pdf\1971_trimmed\Bihar\mededu\Saharsa_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Saharsa,1971\Bihar\26051_1971_SAH.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"121,122",output\pdf\1971_trimmed\Bihar\tehsil appendix\Saharsa_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Purnea,1971\Bihar\40512_1971_PUR.pdf,civic_amenities,Civic Amenities,Trimmed,"47,48",output\pdf\1971_trimmed\Bihar\civic amenities\Purnea_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Purnea,1971\Bihar\40512_1971_PUR.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"49,50",output\pdf\1971_trimmed\Bihar\mededu\Purnea_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Purnea,1971\Bihar\40512_1971_PUR.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"265,266,267,268",output\pdf\1971_trimmed\Bihar\tehsil appendix\Purnea_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Shahabad,1971\Bihar\41313_1971_SHA.pdf,civic_amenities,Civic Amenities,Not trimmed,,,0,False,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Bihar,Bihar,Shahabad,1971\Bihar\41313_1971_SHA.pdf,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,,,0,False,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Bihar,Bihar,Shahabad,1971\Bihar\41313_1971_SHA.pdf,tehsil_appendix,Tehsil Appendix,Not trimmed,,,0,False,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Bihar,Bihar,Singhbhum,1971\Bihar\41339_1971_SIN.pdf,civic_amenities,Civic Amenities,Trimmed,"51,52",output\pdf\1971_trimmed\Bihar\civic amenities\Singhbhum_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Singhbhum,1971\Bihar\41339_1971_SIN.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"53,54",output\pdf\1971_trimmed\Bihar\mededu\Singhbhum_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Singhbhum,1971\Bihar\41339_1971_SIN.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"277,278,279",output\pdf\1971_trimmed\Bihar\tehsil appendix\Singhbhum_tehsil_1971.pdf,3,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Palamau,1971\Bihar\41344_1971_PAL.pdf,civic_amenities,Civic Amenities,Trimmed,40,output\pdf\1971_trimmed\Bihar\civic amenities\Palamau_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
