sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
4,,Mohamdi,,PR (6) KR (20),,PT/OSD,,12,,"1,528",,2,,B/HC,,HP,,...,,...,,248,,18,,30,,142,,...,,6.0,20.0,ORDINARY,,False,3,kheri_civic_1971,Kheri,Uttar Pradesh,1971,format_001,kheri_civic_001,kheri_civic_1971.pdf,3ff8b29bb398bf4cee5a944079cbe64105bea3c2115a569ad6d94b0fac04c856,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:54:25.495388+00:00
1,,Charbagh-Alambagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Lucknow City Urban Agglomeration,False,0,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
2,,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Lucknow City Urban Agglomeration,False,1,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
3,,Lucknow Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Lucknow City Urban Agglomeration,False,2,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
,,Lucknow City Urban Agglomeration,,PR (366) KR (20),,S/ST/OSD/BSD,,"20,301",,"49,910",,57,,MT/B,,TW/OHT,,"43,444,000 Galls.",,Yes,,"34,339",,"2,124",,"15,447",,"15,800",,...,,366.0,20.0,AGGREGATE,,False,3,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
(i),,Charbagh-Alambagh,,PR (51) KR (0),,OSD/ST,,296,,303,,...,,MT/B,,TW/OHT,,"244,000 Galls.",,Yes,,N.A.,,N.A.,,N.A.,,N.A.,,...,,51.0,0.0,COMPONENT,,False,4,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
(ii),,Lucknow,,PR (26) KR (20),,S/OSD/BSD,,"20,000",,"60,000",,97,,MT/B,,TW/OHT,,"43,000,000 Galls.",,Yes,,"34,339*",,"2,124*",,"15,447*",,"15,800*",,...,,26.0,20.0,COMPONENT,,False,5,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
(iii),,Lucknow Cantt.,,PR (51) KR (0),,OSD,,5,,607,,...,,MT/B,,TW/OHT,,"200,000 Gall.",,...,,N.A.,,N.A.,,N.A.,,N.A.,,...,,51.0,0.0,COMPONENT,,False,6,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
4,,Malihabad,,PR (3) KR (0),,OSD,,...,,"1,217",,...,,B,,HP,,...,,...,,50,,14,,35,,40,,...,,3.0,0.0,ORDINARY,,False,7,lucknow_civic_1971,Lucknow,Uttar Pradesh,1971,format_001,lucknow_civic_001,lucknow_civic_1971.pdf,9219e35283323b047ca06c2725c3d2e194202e6696b249eb36f2e86c71624ab8,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:56:42.295630+00:00
1,,Bewar,,PR (7) KR (0),,ST/OSD,,15,,"1,026",,...,,B/HC,,TW/OHT,,"15,000 Gallons",,...,,175,,40,,160,,135,,...,,7.0,0.0,ORDINARY,,False,0,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
2,,Bhongaon,,PR (6) KR (0),,OSD,,...,,"1,005",,...,,HC,,TW/OHT,,"15,000 Gallons",,...,,165,,23,,133,,145,,...,,6.0,0.0,ORDINARY,,False,1,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
3,,Karhal,,PR (2) KR (1),,PT/OSD,,11,,"1,018",,...,,B/HC,,HP/W,,...,,...,,245,,15,,35,,50,,...,,2.0,1.0,ORDINARY,,False,2,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
4,,Kuraoli,,PR (2) KR (4),,PT/OSD,,2,,"1,106",,...,,B/HC,,HP/W,,...,,...,,131,,26,,148,,68,,...,,2.0,4.0,ORDINARY,,False,3,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
5,,*Mainpuri,,PR (41.4) KR (0),,OSD,,...,,"6,125",,...,,B/HC,,TW/OHT,,"10,000 Gallons",,...,,"2,347",,142,,973,,842,,...,,41.4,0.0,ORDINARY,,False,4,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
6,,Shikohabad,,PR (31.8) KR (13.43),,ST/OSD,,402,,"2,476",,...,,B/HC,,TW/OHT,,"75,000 Gallons",,...,,"1,460",,132,,647,,658,,...,,31.8,13.43,ORDINARY,,False,5,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
7,,Sirsaganj,,PR (7.5) KR (0),,OSD,,...,,"1,523",,...,,B,,TW/OHT,,"30,000 Gallons",,...,,306,,50,,300,,174,,...,,7.5,0.0,ORDINARY,,False,6,mainpuri_civic_1971,Mainpuri,Uttar Pradesh,1971,format_001,mainpuri_civic_001,mainpuri_civic_1971.pdf,6f64a523a615a77c0b41a0293ad9cc46320ff5e2a108bbda073103054f63670c,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:01:18.093059+00:00
1,,Baldeo,,PR (3) KR (1),,PT/OSD,,20,,250,,...,,HC,,HP/W,,...,,...,,175,,6,,125,,65,,...,,3.0,1.0,ORDINARY,,False,0,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
2,,Govardhan,,PR (4) KR (15),,PT/OSD,,33,,"2,000",,...,,HL/HC,,TW/OHT,,"100,000 Gallons",,...,,703,,33,,293,,96,,13,,4.0,15.0,ORDINARY,,False,1,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
3,,Kosi Kalan,,PR (6),,PT/OSD,,30,,"2,000",,...,,MT,,TW/OHT,,"180,000 Gallons",,...,,482,,44,,590,,225,,10,,6.0,,ORDINARY,,False,2,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
4,,Mathura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Mathura City Urban Agglomeration,False,3,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
5,,Mathura Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Mathura City Urban Agglomeration,False,4,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
,,Mathura City Urban Agglomeration,,PR (71.8) KR (17.8),,S/OSD/BD,,250,,"3,500",,...,,MT,,TW/OHT,,"750,000 Gallons",,Yes,,"12,479",,328,,302,,"2,361",,...,,71.8,17.8,AGGREGATE,,False,5,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
(i),,Mathura,,PR (62.3) KR (6.3),,S/OSD/BD,,250,,"3,000",,...,,MT,,TW/OHT,,"700,000 Gallons",,Yes,,"12,409",,324,,300,,"2,016",,...,,62.3,6.3,COMPONENT,,False,6,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
(ii),,Mathura Cantt.,,PR (9.5) KR (0),,OSD,,...,,500,,...,,MT,,TW/OHT,,"50,000 Gallons",,...,,70,,4,,2,,345,,...,,9.5,0.0,COMPONENT,,False,7,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
6,,Sadabad,,PR (2.5) KR (5),,OSD,,...,,150,,...,,HC,,TW/OHT,,"25,000 Gallons",,...,,281,,...,,156,,81,,...,,2.5,5.0,ORDINARY,,False,8,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
7,,Vrindaban,,PR (15),,S/OSD,,231,,"2,154",,...,,MT,,TW/OHT,,"262,500 Gallons",,...,,"3,267",,278,,545,,3,,...,,15.0,,ORDINARY,,False,9,mathura_civic_1971,Mathura,Uttar Pradesh,1971,format_001,mathura_civic_001,mathura_civic_1971.pdf,7e6052bbe49d05177837a71883dca0d995b2e5dccb735c3143f19700dae9afb0,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:04:10.762961+00:00
1,,Aminagar Sarai,,PR (8) KR (6),,PT/OSD,,15,,699,,...,,HL,,TW/OHT,,"20,000 Galls.",,...,,405,,15,,182,,150,,...,,8.0,6.0,ORDINARY,,False,0,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
2,,Baghpat,,PR (17) KR (1),,OSD,,...,,"1,550",,...,,B/H,,TW/OHT,,"25,000 Galls.",,Yes,,"1,050",,82,,250,,250,,...,,17.0,1.0,ORDINARY,,False,1,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
3,,Baraut,,PR (26) KR (4),,S/OSD,,50,,"5,000",,...,,B/H,,TW/OHT,,"50,000 Galls.",,Yes,,"2,500",,125,,280,,260,,...,,26.0,4.0,ORDINARY,,False,2,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
4,,Faridnagar,,PR (5) KR (2),,PT/OSD,,28,,21,,...,,B/HL,,HP,,...,,...,,150,,1,,37,,21,,...,,5.0,2.0,ORDINARY,,False,3,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
5,,Garh Mukteshwar,,PR (23) KR (16),,OSD,,...,,"4,000",,...,,B,,HP,,...,,...,,402,,1,,266,,268,,...,,23.0,16.0,ORDINARY,,False,4,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
6,,Ghaziabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Ghaziabad City Urban Agglomeration,False,5,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
7,,Ghaziabad Rly. Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Ghaziabad City Urban Agglomeration,False,6,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
,,Ghaziabad City Urban Agglomeration,,PR (46) KR (0),,S/PT/OSD,,"2,250",,"5,012",,...,,MT/HC,,TW/OHT,,"484,055 Galls.",,Yes,,"6,000",,660,,"1,162",,"2,714",,...,,46.0,0.0,AGGREGATE,,False,7,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
(i),,Ghaziabad,,PR (38) KR (0),,S/PT,,"2,000",,"5,000",,...,,MT/HC,,TW/OHT,,"300,000 Galls.",,Yes,,"4,000",,650,,"1,062",,"2,229",,...,,38.0,0.0,COMPONENT,,False,8,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
(ii),,Ghaziabad Rly. Colony,,PR (8) KR (0),,S/PT/OSD,,250,,12,,...,,MT/HC,,TW/OHT,,"184,055 Galls.",,Yes,,"2,000",,10,,103,,485,,...,,8.0,0.0,COMPONENT,,False,9,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
8,,Hapur,,PR (59) KR (2),,OSD,,...,,"4,943",,...,,HL/B,,TW/OHT,,"114,000 Galls.",,Yes,,"3,500",,221,,435,,836,,...,,59.0,2.0,ORDINARY,,False,10,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
9,,Hastinapur,,PR (15) KR (5),,PT/OSD,,130,,500,,...,,HC/B,,TW/OHT,,"40,000 Galls.",,Yes,,"2,750",,10,,100,,485,,...,,15.0,5.0,ORDINARY,,False,11,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
10,,Kaila,,PR (0) KR (2),,OSD,,...,,500,,...,,B/HL,,HP,,...,,...,,250,,3,,52,,21,,...,,0.0,2.0,ORDINARY,,False,12,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
11,,Kanker Khera,,PR (3) KR (2),,PT/OSD,,50,,"1,500",,...,,B/HL,,HP,,...,,...,,500,,5,,75,,170,,...,,3.0,2.0,ORDINARY,,False,13,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
12,,Malyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Meerut City Urban Agglomeration,False,14,meerut_civic_1971,Meerut,Uttar Pradesh,1971,format_001,meerut_civic_001,meerut_civic_1971.pdf,c88ebacfdc6e1cf7552bd616e7efe31ddad6e4a49afda7eb61c5b64bae35890b,30,31,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:12:05.136344+00:00
